Date,MAW
2016-11-09 23:04:30,9610
2016-11-09 23:04:45,9702
2016-11-09 23:05:00,9844
2016-11-09 23:05:15,9931
2016-11-09 23:05:30,10061
2016-11-09 23:05:45,10188
2016-11-09 23:06:00,10409
2016-11-09 23:06:15,10781
2016-11-09 23:06:30,11031
2016-11-09 23:06:45,11292
2016-11-09 23:07:00,11611
2016-11-09 23:07:15,11811
2016-11-09 23:07:30,12045
2016-11-09 23:07:45,12140
2016-11-09 23:08:00,12273
2016-11-09 23:08:15,12215
2016-11-09 23:08:30,12204
2016-11-09 23:08:45,12253
2016-11-09 23:09:00,12326
2016-11-09 23:09:15,12177
2016-11-09 23:09:30,12206
2016-11-09 23:09:45,12382
2016-11-09 23:10:00,12446
2016-11-09 23:10:15,12451
2016-11-09 23:10:30,12472
2016-11-09 23:10:45,12518
2016-11-09 23:11:00,12573
2016-11-09 23:11:15,12637
2016-11-09 23:11:30,12663
2016-11-09 23:11:45,12787
2016-11-09 23:12:00,12354
2016-11-09 23:12:15,12448
2016-11-09 23:12:30,12235
2016-11-09 23:12:45,12441
2016-11-09 23:13:00,12275
2016-11-09 23:13:15,12206
2016-11-09 23:13:30,12141
2016-11-09 23:13:45,11995
2016-11-09 23:14:00,11964
2016-11-09 23:14:15,11771
2016-11-09 23:14:30,11933
2016-11-09 23:14:45,11913
2016-11-09 23:15:00,11194
2016-11-09 23:15:15,11828
2016-11-09 23:15:30,11864
2016-11-09 23:15:45,11825
2016-11-09 23:16:00,12072
2016-11-09 23:16:15,11573
2016-11-09 23:16:30,10917
2016-11-09 23:16:45,12403
2016-11-09 23:17:00,12530
2016-11-09 23:17:15,12572
2016-11-09 23:17:30,12714
2016-11-09 23:17:45,12736
2016-11-09 23:18:00,12679
2016-11-09 23:18:15,12687
2016-11-09 23:18:30,12722
2016-11-09 23:18:45,12727
2016-11-09 23:19:00,12669
2016-11-09 23:19:15,12574
2016-11-09 23:19:30,12574
2016-11-09 23:19:45,12495
2016-11-09 23:20:00,12310
2016-11-09 23:20:15,11944
2016-11-09 23:20:30,11559
2016-11-09 23:20:45,11502
2016-11-09 23:21:00,10967
2016-11-09 23:21:15,10893
2016-11-09 23:21:30,11105
2016-11-09 23:21:45,11117
2016-11-09 23:22:00,11068
2016-11-09 23:22:15,11018
2016-11-09 23:22:30,10883
2016-11-09 23:22:45,10478
2016-11-09 23:23:00,10078
2016-11-09 23:23:15,9867
2016-11-09 23:23:30,9702
2016-11-09 23:23:45,9597
2016-11-10 23:00:00,9587
2016-11-10 23:00:15,9500
2016-11-10 23:00:30,9405
2016-11-10 23:00:45,9324
2016-11-10 23:01:00,9244
2016-11-10 23:01:15,9192
2016-11-10 23:01:30,9168
2016-11-10 23:01:45,9151
2016-11-10 23:02:00,9143
2016-11-10 23:02:15,9137
2016-11-10 23:02:30,9170
2016-11-10 23:02:45,9206
2016-11-10 23:03:00,9235
2016-11-10 23:03:15,9228
2016-11-10 23:03:30,9246
2016-11-10 23:03:45,9272
2016-11-10 23:04:00,9464
2016-11-10 23:04:15,9509
2016-11-10 23:04:30,9558
2016-11-10 23:04:45,9646
2016-11-10 23:05:00,9787
2016-11-10 23:05:15,9852
2016-11-10 23:05:30,9986
2016-11-10 23:05:45,10105
2016-11-10 23:06:00,10313
2016-11-10 23:06:15,10681
2016-11-10 23:06:30,10926
2016-11-10 23:06:45,11198
2016-11-10 23:07:00,11513
2016-11-10 23:07:15,11713
2016-11-10 23:07:30,11875
2016-11-10 23:07:45,11967
2016-11-10 23:08:00,12103
2016-11-10 23:08:15,12040
2016-11-10 23:08:30,12031
2016-11-10 23:08:45,12093
2016-11-10 23:09:00,12157
2016-11-10 23:09:15,12032
2016-11-10 23:09:30,12050
2016-11-10 23:09:45,12221
2016-11-10 23:10:00,12292
2016-11-10 23:10:15,12306
2016-11-10 23:10:30,12328
2016-11-10 23:10:45,12385
2016-11-10 23:11:00,12432
2016-11-10 23:11:15,12497
2016-11-10 23:11:30,12530
2016-11-10 23:11:45,12710
2016-11-10 23:12:00,12205
2016-11-10 23:12:15,12334
2016-11-10 23:12:30,12095
2016-11-10 23:12:45,12276
2016-11-10 23:13:00,12092
2016-11-10 23:13:15,12022
2016-11-10 23:13:30,11948
2016-11-10 23:13:45,11774
2016-11-10 23:14:00,11733
2016-11-10 23:14:15,11528
2016-11-10 23:14:30,11705
2016-11-10 23:14:45,11710
2016-11-10 23:15:00,10983
